node,,N001,N001,N001,N002,N002,N002,N003,N003,N003
size,,S128,S256,S384,S128,S256,S384,S128,S256,S384
env,seed,,,,,,,,,
Acrobot-v1,42,✅,✅,✅,✅,✅,✅,✅,✅,✅
Acrobot-v1,43,✅,✅,✅,✅,✅,✅,✅,✅,✅
Acrobot-v1,123,✅,✅,✅,✅,✅,✅,✅,✅,✅
Acrobot-v1,456,✅,✅,✅,✅,✅,✅,✅,✅,✅
Acrobot-v1,789,✅,✅,✅,✅,✅,✅,✅,✅,✅
Acrobot-v1,999,✅,✅,✅,✅,✅,✅,✅,✅,✅
Acrobot-v1,1280,✅,✅,✅,✅,✅,✅,✅,✅,✅
Acrobot-v1,1290,✅,✅,✅,✅,✅,✅,✅,✅,✅
Acrobot-v1,2024,✅,✅,✅,✅,✅,✅,✅,✅,✅
Acrobot-v1,2025,✅,✅,✅,✅,✅,✅,✅,✅,✅
Acrobot-v1,2344,✅,✅,✅,✅,✅,✅,✅,✅,✅
Acrobot-v1,2345,✅,✅,✅,✅,✅,✅,✅,✅,✅
Acrobot-v1,6788,✅,✅,✅,✅,✅,✅,✅,✅,✅
Acrobot-v1,6789,✅,✅,✅,✅,✅,✅,✅,✅,✅
CartPole-v1,42,✅,✅,✅,✅,✅,✅,✅,✅,✅
CartPole-v1,43,✅,✅,✅,✅,✅,✅,✅,✅,✅
CartPole-v1,123,✅,✅,✅,✅,✅,✅,✅,✅,✅
CartPole-v1,456,✅,✅,✅,✅,✅,✅,✅,✅,✅
CartPole-v1,789,✅,✅,✅,✅,✅,✅,✅,✅,✅
CartPole-v1,999,✅,✅,✅,✅,✅,✅,✅,✅,✅
CartPole-v1,1280,✅,✅,✅,✅,✅,✅,✅,✅,✅
CartPole-v1,1290,✅,✅,✅,✅,✅,✅,✅,✅,✅
CartPole-v1,2024,✅,✅,✅,✅,✅,✅,✅,✅,✅
CartPole-v1,2025,✅,✅,✅,✅,✅,✅,✅,✅,✅
CartPole-v1,2344,✅,✅,✅,✅,✅,✅,✅,✅,✅
CartPole-v1,2345,✅,✅,✅,✅,✅,✅,✅,✅,✅
CartPole-v1,6788,✅,✅,✅,✅,✅,✅,✅,✅,✅
CartPole-v1,6789,✅,✅,✅,✅,✅,✅,✅,✅,✅
LunarLander-v2,42,✅,✅,✅,✅,✅,✅,✅,✅,✅
LunarLander-v2,43,✅,✅,✅,✅,✅,✅,✅,✅,✅
LunarLander-v2,123,✅,✅,✅,✅,✅,✅,✅,✅,✅
LunarLander-v2,456,✅,✅,✅,✅,✅,✅,✅,✅,✅
LunarLander-v2,789,✅,✅,✅,✅,✅,✅,✅,✅,✅
LunarLander-v2,999,✅,✅,✅,✅,✅,✅,✅,✅,✅
LunarLander-v2,1280,✅,✅,✅,✅,✅,✅,✅,✅,✅
LunarLander-v2,1290,✅,✅,✅,✅,✅,✅,✅,✅,✅
LunarLander-v2,2024,✅,✅,✅,✅,✅,✅,✅,✅,✅
LunarLander-v2,2025,✅,✅,✅,✅,✅,✅,✅,✅,✅
LunarLander-v2,2344,✅,✅,✅,✅,✅,✅,✅,✅,✅
LunarLander-v2,2345,✅,✅,✅,✅,✅,✅,✅,✅,✅
LunarLander-v2,6788,✅,✅,✅,✅,✅,✅,✅,✅,✅
LunarLander-v2,6789,✅,✅,✅,✅,✅,✅,✅,✅,✅
