Topology,Training Task,Avg Transfer Ratio,Avg Performance,Avg Parameters,Avg Training Time (s)
small_world,Acrobot-v1,0.470 ± 0.750,-70.30,748,540.8
small_world,CartPole-v1,0.000 ± 1.414,0.00,748,626.2
modular,Acrobot-v1,0.467 ± 0.753,-68.07,"5,906",639.7
modular,CartPole-v1,0.000 ± 1.414,0.00,"5,906",619.2
hybrid,Acrobot-v1,0.468 ± 0.753,-68.97,"3,246",650.3
hybrid,CartPole-v1,0.000 ± 1.414,0.00,"3,246",636.2
fully_connected_1layers,Acrobot-v1,0.471 ± 0.747,-79.93,"16,482",655.1
fully_connected_1layers,CartPole-v1,0.000 ± 1.414,0.00,"16,482",621.9
fully_connected_2layers,Acrobot-v1,0.468 ± 0.752,-69.77,"16,482",650.8
fully_connected_2layers,CartPole-v1,0.000 ± 1.414,0.00,"16,482",628.1
