timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
50.0,2.3978328704833984,1.0,4.0,4.0,4.0,50.0,50.0,50.0
100.0,2.959587335586548,3.0,4.0,2.3333332538604736,0.0,50.0,31.333333333333332,6.0
150.0,3.566215991973877,7.0,2.0,0.4000000059604645,0.0,32.0,11.2,6.0
200.0,4.1637351512908936,11.0,1.0,0.4000000059604645,0.0,22.0,11.2,6.0
250.0,4.759735822677612,17.0,0.0,0.0,0.0,6.0,6.0,6.0
300.0,5.359989404678345,20.0,1.0,0.6000000238418579,0.0,20.0,12.8,6.0
350.0,5.95719838142395,25.0,1.0,0.4000000059604645,0.0,18.0,10.4,6.0
400.0,6.564364910125732,33.0,0.0,0.0,0.0,6.0,6.0,6.0
450.0,7.167038679122925,38.0,1.0,0.20000000298023224,0.0,16.0,8.4,6.0
500.0,7.781722068786621,41.0,1.0,0.4000000059604645,0.0,26.0,12.0,6.0
550.0,8.416035175323486,44.0,2.0,0.6000000238418579,0.0,28.0,12.4,6.0
600.0,9.014776706695557,46.0,3.0,1.399999976158142,0.0,38.0,20.8,6.0
650.0,9.616292476654053,48.0,3.0,1.600000023841858,0.0,38.0,24.0,6.0
700.0,10.217938423156738,51.0,2.0,1.0,0.0,34.0,19.6,6.0
750.0,10.815476655960083,54.0,2.0,0.6000000238418579,0.0,28.0,14.4,6.0
800.0,11.415389776229858,57.0,2.0,0.800000011920929,0.0,28.0,14.4,6.0
850.0,12.016185998916626,61.0,2.0,0.800000011920929,0.0,28.0,14.4,6.0
900.0,12.614568710327148,68.0,0.0,0.0,0.0,6.0,6.0,6.0
950.0,13.223706245422363,73.0,1.0,0.20000000298023224,0.0,16.0,9.6,6.0
1000.0,13.84486436843872,78.0,1.0,0.4000000059604645,0.0,16.0,12.0,6.0
1050.0,14.443083763122559,83.0,1.0,0.4000000059604645,0.0,16.0,10.0,6.0
1100.0,15.046367406845093,88.0,1.0,0.4000000059604645,0.0,16.0,10.0,6.0
1150.0,15.644293785095215,94.0,0.0,0.0,0.0,6.0,6.0,6.0
1200.0,16.24498724937439,99.0,1.0,0.4000000059604645,0.0,16.0,10.8,6.0
1250.0,16.851659536361694,105.0,0.0,0.0,0.0,6.0,6.0,6.0
1300.0,17.451752424240112,109.0,2.0,0.6000000238418579,0.0,30.0,12.8,6.0
1350.0,18.05255436897278,114.0,1.0,0.4000000059604645,0.0,22.0,11.2,6.0
1400.0,18.66549324989319,116.0,2.0,0.800000011920929,0.0,28.0,14.4,6.0
1450.0,19.298299312591553,121.0,1.0,0.20000000298023224,0.0,16.0,9.2,6.0
1500.0,19.92331886291504,124.0,1.0,0.6000000238418579,0.0,26.0,14.0,6.0
1550.0,20.53480863571167,130.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
1600.0,21.131861209869385,135.0,1.0,0.20000000298023224,0.0,16.0,8.8,6.0
1650.0,21.73608136177063,139.0,2.0,0.4000000059604645,0.0,28.0,12.4,6.0
1700.0,22.333816289901733,142.0,2.0,0.800000011920929,0.0,28.0,15.2,6.0
1750.0,22.928251028060913,147.0,1.0,0.6000000238418579,0.0,18.0,12.4,6.0
1800.0,23.530332565307617,152.0,1.0,0.4000000059604645,0.0,16.0,10.0,6.0
1850.0,24.127966165542603,157.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
1900.0,24.720152139663696,160.0,1.0,0.6000000238418579,0.0,26.0,14.0,6.0
1950.0,25.31914210319519,165.0,0.0,0.0,0.0,8.0,6.4,6.0
2000.0,25.92116665840149,171.0,0.0,0.0,0.0,6.0,6.0,6.0
2050.0,26.51984143257141,174.0,2.0,0.6000000238418579,0.0,28.0,13.2,6.0
2100.0,27.12431001663208,179.0,1.0,0.4000000059604645,0.0,16.0,10.0,6.0
2150.0,27.731261730194092,181.0,2.0,0.6000000238418579,0.0,26.0,12.0,6.0
2200.0,28.331055402755737,184.0,2.0,1.2000000476837158,0.0,34.0,19.6,6.0
2250.0,28.943731784820557,189.0,2.0,0.4000000059604645,0.0,26.0,10.4,6.0
2300.0,29.571255445480347,193.0,1.0,0.4000000059604645,0.0,16.0,10.0,6.0
2350.0,30.15841031074524,199.0,1.0,0.20000000298023224,0.0,16.0,8.0,6.0
2400.0,30.756207704544067,205.0,0.0,0.0,0.0,6.0,6.0,6.0
2450.0,31.357680797576904,210.0,1.0,0.6000000238418579,0.0,20.0,12.8,6.0
