{'iter_count': 1, 's': 1.0083918056125185e-07}
{'iter_count': 2, 's': 6.000001917527698e-08}
{'iter_count': 3, 's': 9.907412135135019e-08}
{'iter_count': 4, 's': 1.4976765783103474e-07}
{'iter_count': 5, 's': 1.9218276747778873e-07}
{'iter_count': 6, 's': 2.435595263250434e-07}
{'iter_count': 7, 's': 2.823015279318497e-07}
{'iter_count': 8, 's': 3.550256337803148e-07}
{'iter_count': 9, 's': 4.5211274368739396e-07}
{'iter_count': 10, 's': 5.336374897524365e-07}
{'iter_count': 11, 's': 6.544804591612774e-07}
{'iter_count': 12, 's': 7.923290468170308e-07}
{'iter_count': 13, 's': 9.990358194045257e-07}
{'iter_count': 14, 's': 1.090543719328707e-06}
{'iter_count': 15, 's': 1.1885905450981227e-06}
{'iter_count': 16, 's': 1.428833002137253e-06}
{'iter_count': 17, 's': 1.743207462823193e-06}
{'iter_count': 18, 's': 2.179258444812149e-06}
{'iter_count': 19, 's': 2.41571160586318e-06}
{'iter_count': 20, 's': 2.794415195239708e-06}
{'iter_count': 21, 's': 3.2985046800604323e-06}
{'iter_count': 22, 's': 4.104882464162074e-06}
{'iter_count': 23, 's': 4.430259195942199e-06}
{'iter_count': 24, 's': 4.688738044933416e-06}
{'iter_count': 25, 's': 5.1419779083516914e-06}
{'iter_count': 26, 's': 5.904491445107851e-06}
{'iter_count': 27, 's': 7.203004315670114e-06}
{'iter_count': 28, 's': 9.140028851106763e-06}
{'iter_count': 29, 's': 1.1511177945067175e-05}
{'iter_count': 30, 's': 1.475381213822402e-05}
{'iter_count': 31, 's': 1.868622530309949e-05}
{'iter_count': 32, 's': 2.436983777442947e-05}
{'iter_count': 33, 's': 3.250945883337408e-05}
{'iter_count': 34, 's': 4.3478554289322346e-05}
{'iter_count': 35, 's': 5.6788929214235395e-05}
{'iter_count': 36, 's': 7.613992056576535e-05}
{'iter_count': 37, 's': 0.00010122431558556855}
{'iter_count': 38, 's': 0.0001349772937828675}
{'iter_count': 39, 's': 0.00018189221736975014}
{'iter_count': 40, 's': 0.0002459222450852394}
{'iter_count': 41, 's': 0.0003333633649162948}
{'iter_count': 42, 's': 0.0004540256632026285}
{'iter_count': 43, 's': 0.0006326548755168915}
{'iter_count': 44, 's': 0.0008687242516316473}
{'iter_count': 45, 's': 0.0011926708975806832}
{'iter_count': 46, 's': 0.0016519465716555715}
{'iter_count': 47, 's': 0.0023065106943249702}
{'iter_count': 48, 's': 0.0032916248310357332}
{'iter_count': 49, 's': 0.004618656821548939}
{'iter_count': 50, 's': 0.006573026068508625}
{'iter_count': 51, 's': 0.00957215204834938}
{'iter_count': 52, 's': 0.01457187719643116}
{'iter_count': 53, 's': 0.013477479107677937}
{'iter_count': 54, 's': 0.021077092736959457}
{'iter_count': 55, 's': 0.006293086800724268}
{'iter_count': 56, 's': 0.009101593866944313}
{'iter_count': 57, 's': 0.013704401440918446}
{'iter_count': 58, 's': 0.0065489402040839195}
{'iter_count': 59, 's': 0.00969245657324791}
{'iter_count': 60, 's': 0.014917800202965736}
{'iter_count': 61, 's': 0.0062164305709302425}
{'iter_count': 62, 's': 0.009216917678713799}
{'iter_count': 63, 's': 0.014111191034317017}
{'iter_count': 64, 's': 0.006642023101449013}
{'iter_count': 65, 's': 0.010029904544353485}
{'iter_count': 66, 's': 0.015753069892525673}
{'iter_count': 67, 's': 0.0055750287137925625}
{'iter_count': 68, 's': 0.008461709134280682}
{'iter_count': 69, 's': 0.01316947489976883}
{'iter_count': 70, 's': 0.0052143242210149765}
{'iter_count': 71, 's': 0.008130194619297981}
{'iter_count': 72, 's': 0.012935003265738487}
{'iter_count': 73, 's': 0.020748095586895943}
{'iter_count': 74, 's': 0.006108507513999939}
{'iter_count': 75, 's': 0.009611517190933228}
{'iter_count': 76, 's': 0.015544799156486988}
{'iter_count': 77, 's': 0.024621454998850822}
{'iter_count': 78, 's': 0.0073570189997553825}
{'iter_count': 79, 's': 0.011751145124435425}
{'iter_count': 80, 's': 0.01899276301264763}
{'iter_count': 81, 's': 0.008884740993380547}
{'iter_count': 82, 's': 0.014270119369029999}
{'iter_count': 83, 's': 0.019341470673680305}
{'iter_count': 84, 's': 0.0060368794947862625}
{'iter_count': 85, 's': 0.00961877778172493}
{'iter_count': 86, 's': 0.015514564700424671}
{'iter_count': 87, 's': 0.01193254254758358}
{'iter_count': 88, 's': 0.01918748766183853}
{'iter_count': 89, 's': 0.006171074695885181}
{'iter_count': 90, 's': 0.009911944158375263}
{'iter_count': 91, 's': 0.015290548093616962}
{'iter_count': 92, 's': 0.018391888588666916}
{'iter_count': 93, 's': 0.006175446789711714}
{'iter_count': 94, 's': 0.009919674135744572}
{'iter_count': 95, 's': 0.016041863709688187}
{'iter_count': 96, 's': 0.018570583313703537}
{'iter_count': 97, 's': 0.017623145133256912}
{'iter_count': 98, 's': 0.016764309257268906}
{'iter_count': 99, 's': 0.023841381072998047}
{'iter_count': 100, 's': 0.00887238048017025}
{'iter_count': 101, 's': 0.014347376301884651}
{'iter_count': 102, 's': 0.02070290595293045}
{'iter_count': 103, 's': 0.013148307800292969}
{'iter_count': 104, 's': 0.02115505188703537}
{'iter_count': 105, 's': 0.0164891816675663}
