network_size,seed,strategy,task,topology,performance
50,42,random,classification,small_world,"{'input_nodes': [13, 39, 30, 45, 17], 'output_nodes': [48, 26, 25, 32, 19], 'avg_path_length': 3.84}"
50,42,random,classification,modular,"{'input_nodes': [13, 39, 30, 45, 17], 'output_nodes': [48, 26, 25, 32, 19], 'avg_path_length': 2.12}"
50,42,random,regression,small_world,"{'input_nodes': [13, 39, 30, 45, 17], 'output_nodes': [48, 26, 25, 32, 19], 'avg_path_length': 3.84}"
50,42,random,regression,modular,"{'input_nodes': [13, 39, 30, 45, 17], 'output_nodes': [48, 26, 25, 32, 19], 'avg_path_length': 2.12}"
50,42,random,clustering,small_world,"{'input_nodes': [13, 39, 30, 45, 17], 'output_nodes': [48, 26, 25, 32, 19], 'avg_path_length': 3.84}"
50,42,random,clustering,modular,"{'input_nodes': [13, 39, 30, 45, 17], 'output_nodes': [48, 26, 25, 32, 19], 'avg_path_length': 2.12}"
50,42,centrality_based,classification,small_world,"{'input_nodes': [1, 45, 11, 3, 36], 'output_nodes': [20, 30, 10, 40, 34], 'avg_path_length': 2.92}"
50,42,centrality_based,classification,modular,"{'input_nodes': [30, 2, 4, 18, 44], 'output_nodes': [46, 1, 0, 34, 5], 'avg_path_length': 1.72}"
50,42,centrality_based,regression,small_world,"{'input_nodes': [1, 45, 11, 3, 36], 'output_nodes': [20, 30, 10, 40, 34], 'avg_path_length': 2.92}"
50,42,centrality_based,regression,modular,"{'input_nodes': [30, 2, 4, 18, 44], 'output_nodes': [46, 1, 0, 34, 5], 'avg_path_length': 1.72}"
50,42,centrality_based,clustering,small_world,"{'input_nodes': [1, 45, 11, 3, 36], 'output_nodes': [20, 30, 10, 40, 34], 'avg_path_length': 2.92}"
50,42,centrality_based,clustering,modular,"{'input_nodes': [30, 2, 4, 18, 44], 'output_nodes': [46, 1, 0, 34, 5], 'avg_path_length': 1.72}"
50,42,distance_based,classification,small_world,"{'input_nodes': [7, 5, 6, 8, 9], 'output_nodes': [37, 35, 39, 38, 33], 'avg_path_length': 5.64}"
50,42,distance_based,classification,modular,"{'input_nodes': [8, 47, 2, 30, 43], 'output_nodes': [13, 16, 20, 42, 12], 'avg_path_length': 2.56}"
