topology_type,num_layers,task,network_size,total_params,actor_params,critic_params,mean_reward,std_reward,training_time,experiment_type
small_world,1,CartPole-v1,64,364,182,182,24.266666666666666,3.4149995932975195,12.19211220741272,same_size
modular,1,CartPole-v1,64,1502,751,751,21.933333333333334,3.0652170486860397,13.504234790802002,same_size
modular,1,CartPole-v1,36,490,245,245,26.0,3.9157800414902435,12.053292036056519,match_small_world
hybrid,1,CartPole-v1,64,914,457,457,27.266666666666666,2.5681813712344295,11.888812065124512,same_size
hybrid,1,CartPole-v1,41,486,243,243,27.266666666666666,3.0868898407440604,12.273223161697388,match_small_world
fully_connected,1,CartPole-v1,64,4130,2065,2065,23.333333333333332,3.0258148581093915,12.194094181060791,same_size
fully_connected,2,CartPole-v1,64,4130,2065,2065,20.6,2.1540659228538015,31.01448655128479,same_size
fully_connected,1,CartPole-v1,22,476,238,238,21.4,3.2619012860600187,20.362807035446167,match_small_world
fully_connected,2,CartPole-v1,22,476,238,238,23.0,4.09878030638384,26.422415256500244,match_small_world
small_world,1,MountainCar-v0,64,364,182,182,-200.0,0.0,37.172231674194336,same_size
modular,1,MountainCar-v0,64,1502,751,751,-200.0,0.0,45.00609302520752,same_size
modular,1,MountainCar-v0,36,490,245,245,-200.0,0.0,36.02362942695618,match_small_world
hybrid,1,MountainCar-v0,64,914,457,457,-200.0,0.0,29.806380033493042,same_size
hybrid,1,MountainCar-v0,41,486,243,243,-200.0,0.0,10.993105173110962,match_small_world
fully_connected,1,MountainCar-v0,64,4130,2065,2065,-200.0,0.0,15.20699429512024,same_size
fully_connected,2,MountainCar-v0,64,4130,2065,2065,-200.0,0.0,17.65391516685486,same_size
fully_connected,1,MountainCar-v0,22,476,238,238,-200.0,0.0,11.967109441757202,match_small_world
fully_connected,2,MountainCar-v0,22,476,238,238,-200.0,0.0,12.6294424533844,match_small_world
small_world,1,Acrobot-v1,64,364,182,182,-500.0,0.0,12.468965291976929,same_size
modular,1,Acrobot-v1,64,1502,751,751,-500.0,0.0,12.209587812423706,same_size
modular,1,Acrobot-v1,36,490,245,245,-184.06666666666666,54.889545655090124,12.464483976364136,match_small_world
hybrid,1,Acrobot-v1,64,914,457,457,-215.73333333333332,112.71525579480752,12.704398155212402,same_size
hybrid,1,Acrobot-v1,41,486,243,243,-500.0,0.0,12.019362688064575,match_small_world
fully_connected,1,Acrobot-v1,64,4130,2065,2065,-500.0,0.0,11.763535022735596,same_size
fully_connected,2,Acrobot-v1,64,4130,2065,2065,-328.06666666666666,161.26725919692714,12.47825312614441,same_size
fully_connected,1,Acrobot-v1,22,476,238,238,-500.0,0.0,16.230793714523315,match_small_world
fully_connected,2,Acrobot-v1,22,476,238,238,-199.2,119.69695067126814,12.241053819656372,match_small_world
